Project,Core Area,Repository,URL-Link,Accountable Engineering Manager,Exit Plan,Exit Date,Exit Plan State,Post 3/31 Exit Justification,ID
"ETSArchitecture","Developer Engineering","IAAS","https://dev.azure.com/geico/ETSArchitecture/_git/IAAS","Desharaju, Krishna","Plan to Sunset","6/30/2024","Not Started",,"1007"
"DOISCICD","Developer Engineering","IBUClaims","https://dev.azure.com/geico/DOISCICD/_git/IBUClaims","Theimer, James","Plan to Sunset","3/31/2024","Not Started",,"1008"
"IT Claims","Core Claims Platforms","IBUClaims","https://dev.azure.com/geico/IT%20Claims/_git/IBUClaims","Warnick, Wes","Immediately Archive","3/1/2024","Completed",,"1009"
"Automation","Infrastructure","iCAT","https://dev.azure.com/geico/Automation/_git/iCAT","Bhatt, Hiren","Plan to refactor into .NET Open Source","3/30/2024","Not Started",,"1010"
"Imaging","Enablement Platforms","ICMDashboard","https://dev.azure.com/geico/Imaging/_git/ICMDashboard","Patel, Kamlesh","Plan to rewrite on non .Net Open Source","7/1/2025","Not Started",,"1011"
"Imaging","Enablement Platforms","ICMProxyServices","https://dev.azure.com/geico/Imaging/_git/ICMProxyServices","Patel, Kamlesh","Plan to rewrite on non .Net Open Source","7/1/2025","Not Started",,"1012"
"Imaging","Enablement Platforms","ICMTasksExecutor","https://dev.azure.com/geico/Imaging/_git/ICMTasksExecutor","Patel, Kamlesh","Plan to rewrite on non .Net Open Source","7/1/2025","Not Started",,"1013"
"ASDDevOps","Core Insurance Platforms","ICTF","https://dev.azure.com/geico/ASDDevOps/_git/ICTF","Mohamed, Abdulemenan","Immediately Archive","2/21/2024","Not Started",,"1014"
"K027- All","Infrastructure","ICTF","https://dev.azure.com/geico/K027-%20All/_git/ICTF","Mohamed, Abdulemenan","Immediately Archive","2/12/2024","Not Started",,"1015"
"Imaging","Enablement Platforms","IdxBoxSync","https://dev.azure.com/geico/Imaging/_git/IdxBoxSync","Patel, Kamlesh","Immediately Archive","2/12/2024","Not Started",,"1016"
"IES Integration","Core Insurance Platforms","IES Integration","https://dev.azure.com/geico/IES%20Integration/_git/IES%20Integration",,,,"Not Started",,"1017"
"IES Integration","Core Insurance Platforms","IesGateway.Api","https://dev.azure.com/geico/IES%20Integration/_git/IesGateway.Api",,,,"Not Started",,"1018"
"K027- All","Infrastructure","IFMS","https://dev.azure.com/geico/K027-%20All/_git/IFMS","Cogan, Jonathan","Immediately Archive","2/12/2024","In Progress","<div class=""ExternalClass88AD6291EC3841F0943A743D6C4D3243""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">We migrated this to our team's repo and it's already been upgraded - this repo can be deleted</div></div>","1019"
"BoatUS","Digital Engineering","ImageGen","https://dev.azure.com/geico/BoatUS/_git/ImageGen","Masilela, Mbonisi","Plan to refactor into .NET Open Source","3/31/2024","Not Started",,"1020"
"DirectNet Modernization","Core Claims Platforms","ImageProcessing_FileNet","https://dev.azure.com/geico/DirectNet%20Modernization/_git/ImageProcessing_FileNet",,,,"Not Started",,"1021"
"DirectNet Modernization","Core Claims Platforms","ImageProcessing_FileNet_SmokeTest","https://dev.azure.com/geico/DirectNet%20Modernization/_git/ImageProcessing_FileNet_SmokeTest",,,,"Not Started",,"1022"
"DirectNet Modernization","Core Claims Platforms","ImageProcessing_LRExhibits","https://dev.azure.com/geico/DirectNet%20Modernization/_git/ImageProcessing_LRExhibits",,,,"Not Started",,"1023"
"DirectNet Modernization","Core Claims Platforms","ImageProcessing_LRExhibits_SmokeTest","https://dev.azure.com/geico/DirectNet%20Modernization/_git/ImageProcessing_LRExhibits_SmokeTest",,,,"Not Started",,"1024"
"DirectNet Modernization","Core Claims Platforms","ImageProcessing_TIPReport","https://dev.azure.com/geico/DirectNet%20Modernization/_git/ImageProcessing_TIPReport",,,,"Not Started",,"1025"
"DirectNet Modernization","Core Claims Platforms","ImageProcessing_TIPReport_SmokeTest","https://dev.azure.com/geico/DirectNet%20Modernization/_git/ImageProcessing_TIPReport_SmokeTest",,,,"Not Started",,"1026"
"ETSArchitecture","Developer Engineering","Import_TC___ALM_to_VSTS","https://dev.azure.com/geico/ETSArchitecture/_git/Import_TC___ALM_to_VSTS","Desharaju, Krishna","Immediately Archive","1/31/2024","Completed",,"1027"
"BoatUS","Digital Engineering","ImportExportUtility","https://dev.azure.com/geico/BoatUS/_git/ImportExportUtility","Masilela, Mbonisi","Plan to refactor into .NET Open Source","3/31/2024","Not Started",,"1028"
"MSI CM","Core Insurance Platforms","ImportTest","https://dev.azure.com/geico/MSI%20CM/_git/ImportTest",,,,"Not Started",,"1029"
"Imaging","Enablement Platforms","IndexingJobReportR1","https://dev.azure.com/geico/Imaging/_git/IndexingJobReportR1","Patel, Kamlesh","Immediately Archive","2/29/2024","Not Started",,"1030"
"Imaging","Enablement Platforms","IndexingQueueCleanupTools","https://dev.azure.com/geico/Imaging/_git/IndexingQueueCleanupTools","Patel, Kamlesh","Plan to rewrite on non .Net Open Source","7/1/2025","Not Started","<div class=""ExternalClass4806B09AB37E40BFAF4CDB2769422E31""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);""><span style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;background-color&%2358;rgb(255, 255, 255);display&%2358;inline !important;"">Application depends on FileNet.Api.dll which works only with .NET Framework</span><br></div></div>","1031"
"Imaging","Enablement Platforms","IndexingStatusResetter","https://dev.azure.com/geico/Imaging/_git/IndexingStatusResetter","Patel, Kamlesh","Plan to rewrite on non .Net Open Source","7/1/2025","Not Started","<div class=""ExternalClassEA4E8A1A8EBD43D19A2020582BD40D6E""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);""><span style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;background-color&%2358;rgb(255, 255, 255);display&%2358;inline !important;"">Application depends on FileNet.Api.dll which works only with .NET Framework</span><br></div></div>","1032"
"Billing","Enterprise Engineering","Infrastructure","https://dev.azure.com/geico/Billing/_git/Infrastructure",,,,"Not Started",,"1033"
"BoatUS","Digital Engineering","InsuranceIVREmailDocuments","https://dev.azure.com/geico/BoatUS/_git/InsuranceIVREmailDocuments","Masilela, Mbonisi","Plan to Sunset","3/31/2024","Not Started",,"1034"
"BoatUS","Digital Engineering","InsuranceQuote","https://dev.azure.com/geico/BoatUS/_git/InsuranceQuote","Owens, Brian","Plan to Sunset","9/30/2024","Not Started","<div class=""ExternalClass44AE289FAA8642F1BCFB7364AB17EB02""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">A replacement application is in progress and we expect it to be rolled out to all states by end of Q3.&%23160;</div></div>","1035"
"Billing","Enterprise Engineering","InsurityIntegration","https://dev.azure.com/geico/Billing/_git/InsurityIntegration",,"Immediately Archive","2/21/2024","Completed",,"1036"
"Billing","Enterprise Engineering","InsurityIntegration.AppService","https://dev.azure.com/geico/Billing/_git/InsurityIntegration.AppService",,,,"Not Started",,"1037"
"Billing","Enterprise Engineering","InsurityIntegration-SQLDataFix","https://dev.azure.com/geico/Billing/_git/InsurityIntegration-SQLDataFix",,,,"Not Started",,"1038"
"DSS","Data Engineering","InsurQuoteTools","https://dev.azure.com/geico/DSS/_git/InsurQuoteTools","Pfleegor, Eric","Plan to Sunset","6/30/2024","Not Started","<div class=""ExternalClassED25A60388444BD9BAECBA5D330498D2""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">We plan to retire these repositories but need time to review and ensure none of the code is used in any of our other apps. Given other GDH and PACE priorities we will not be able to conduct that review until after the 3/31 date.</div></div>","1039"
"ITFoundation","Core Insurance Platforms","Integration.Common","https://dev.azure.com/geico/ITFoundation/_git/Integration.Common","Hoffman, Justin","Plan to Sunset","7/26/2024","Not Started","<div class=""ExternalClass8A9AFBB1A1FC4B2DA87BD875530CE7B2""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">this is part of the application that supports email.&%23160; Until there is a modern solution stood up for Email within the Business Messaging group this will have to remain so sunset date is unknown</div></div>","1040"
"Commercial Legacy","Digital Engineering","Integration-BatchProcessingService-Research","https://dev.azure.com/geico/Commercial%20Legacy/_git/Integration-BatchProcessingService-Research","Clower, Amy","Immediately Archive","2/7/2024","Completed",,"1041"
"Commercial Legacy","Digital Engineering","Integration-CarrierFeedService","https://dev.azure.com/geico/Commercial%20Legacy/_git/Integration-CarrierFeedService","Clower, Amy","Immediately Archive","2/7/2024","Completed",,"1042"
"Commercial Legacy","Digital Engineering","Integration-FileProcessingService-Research","https://dev.azure.com/geico/Commercial%20Legacy/_git/Integration-FileProcessingService-Research","Clower, Amy","Immediately Archive","2/7/2024","Completed",,"1043"
"Commercial Legacy","Digital Engineering","Integration-LocationService","https://dev.azure.com/geico/Commercial%20Legacy/_git/Integration-LocationService","Clower, Amy","Plan to Sunset","3/31/2025","Not Started",,"1044"
"Commercial Legacy","Digital Engineering","Integration-ReportService","https://dev.azure.com/geico/Commercial%20Legacy/_git/Integration-ReportService","Clower, Amy","Plan to Sunset","3/31/2025","Not Started",,"1045"
"Commercial Legacy","Digital Engineering","Integration-VoltageEncryptorWrapper","https://dev.azure.com/geico/Commercial%20Legacy/_git/Integration-VoltageEncryptorWrapper","Clower, Amy","Plan to Sunset","3/31/2025","Not Started",,"1046"
"IBU.Multiline","Core Insurance Platforms","Internal.AzureDevOpsConsole","https://dev.azure.com/geico/IBU.Multiline/_git/Internal.AzureDevOpsConsole",,,,"Not Started",,"1047"
"IT Sales","Core Insurance Platforms","Internet.RV","https://dev.azure.com/geico/IT%20Sales/_git/Internet.RV","Ghaus, Syed",,,"Not Started",,"1048"
"Billing","Enterprise Engineering","InterSystembalancing","https://dev.azure.com/geico/Billing/_git/InterSystembalancing",,"Immediately Archive","2/21/2024","Completed",,"1049"
"Billing","Enterprise Engineering","InterSystembalancing.AppService","https://dev.azure.com/geico/Billing/_git/InterSystembalancing.AppService",,,,"Not Started",,"1050"
"Billing","Enterprise Engineering","InterSystembalancingWorkerNet","https://dev.azure.com/geico/Billing/_git/InterSystembalancingWorkerNet",,,,"Not Started",,"1051"
"Corporate Support Systems","Enterprise Engineering","IRS1099YearEndProcess-Buisness","https://dev.azure.com/geico/Corporate%20Support%20Systems/_git/IRS1099YearEndProcess-Buisness","Duong, Till","Plan to refactor into .NET Open Source","3/31/2024","In Progress","<div class=""ExternalClass326FEEC4F7D3496FAB5C5FD85D0CF41C""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">Volume of applications the Fin App team needs to upgrade.</div></div>","1052"
"Corporate Support Systems","Enterprise Engineering","IRSExpenseTransferUI_Azure","https://dev.azure.com/geico/Corporate%20Support%20Systems/_git/IRSExpenseTransferUI_Azure","Duong, Till","Plan to refactor into .NET Open Source","6/30/2024","Not Started","<div class=""ExternalClassDF166AE9405544F1A2077361D8B46F02""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">Volume of applications the Fin App team needs to upgrade.</div></div>","1053"
"Corporate Support Systems","Enterprise Engineering","IRSExpProvider-Buisness","https://dev.azure.com/geico/Corporate%20Support%20Systems/_git/IRSExpProvider-Buisness","Duong, Till","Plan to refactor into .NET Open Source","6/30/2024","Not Started","<div class=""ExternalClass5682766CABAE43BD937C857135BE8608""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">Volume of applications the Fin App team needs to upgrade.</div></div>","1054"
"Corporate Support Systems","Enterprise Engineering","IRSExpProvider-UI","https://dev.azure.com/geico/Corporate%20Support%20Systems/_git/IRSExpProvider-UI","Duong, Till","Plan to refactor into .NET Open Source","6/30/2024","Not Started","<div class=""ExternalClass1F191CF491484A0798AA104B70692D39""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">Volume of applications the Fin App team needs to upgrade.</div></div>","1055"
"Corporate Support Systems","Enterprise Engineering","IRSReporting-IRS1099BusinessWebApi","https://dev.azure.com/geico/Corporate%20Support%20Systems/_git/IRSReporting-IRS1099BusinessWebApi","Duong, Till","Plan to refactor into .NET Open Source","6/30/2024","Not Started","<div class=""ExternalClass83121FCBE35C464186E0994FC865024E""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">Volume of applications the Fin App team needs to upgrade.</div></div>","1056"
"Corporate Support Systems","Enterprise Engineering","IRSReporting-IRS1099BusinessWebApi-Azure","https://dev.azure.com/geico/Corporate%20Support%20Systems/_git/IRSReporting-IRS1099BusinessWebApi-Azure","Duong, Till","Plan to refactor into .NET Open Source","6/30/2024","Not Started","<div class=""ExternalClassADD0814159BC49EE9B43A579AC86CF9D""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">Volume of applications the Fin App team needs to upgrade.</div></div>","1057"
"Corporate Support Systems","Enterprise Engineering","IRSReporting-IRS1099ProviderBatch","https://dev.azure.com/geico/Corporate%20Support%20Systems/_git/IRSReporting-IRS1099ProviderBatch","Duong, Till","Plan to refactor into .NET Open Source","6/30/2024","Not Started","<div class=""ExternalClass43F7D02A2EF54666B9493E4CCE00144D""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">Volume of applications the Fin App team needs to upgrade.</div></div>","1058"
"Corporate Support Systems","Enterprise Engineering","IRSReporting-IRS1099ProviderEncryption","https://dev.azure.com/geico/Corporate%20Support%20Systems/_git/IRSReporting-IRS1099ProviderEncryption","Duong, Till","Plan to refactor into .NET Open Source","6/30/2024","Not Started","<div class=""ExternalClass3903656683944D219651F095D87DE50F""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">Volume of applications the Fin App team needs to upgrade.</div></div>","1059"
"Corporate Support Systems","Enterprise Engineering","IRSReporting-IRSW9","https://dev.azure.com/geico/Corporate%20Support%20Systems/_git/IRSReporting-IRSW9","Duong, Till","Plan to refactor into .NET Open Source","6/30/2024","Not Started","<div class=""ExternalClassA26CD3378A974444B603066813D2951E""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">Volume of applications the Fin App team needs to upgrade.</div></div>","1060"
"Corporate Support Systems","Enterprise Engineering","IRSReporting-IRSW9BusinessWebAPI","https://dev.azure.com/geico/Corporate%20Support%20Systems/_git/IRSReporting-IRSW9BusinessWebAPI","Duong, Till","Plan to refactor into .NET Open Source","6/30/2024","Not Started","<div class=""ExternalClass6AF68E0EB68F49CC9B0AFE6A8A37707A""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">Volume of applications the Fin App team needs to upgrade.</div></div>","1061"
"Corporate Support Systems","Enterprise Engineering","IRSReporting-IRSW9Request","https://dev.azure.com/geico/Corporate%20Support%20Systems/_git/IRSReporting-IRSW9Request","Duong, Till","Plan to refactor into .NET Open Source","6/30/2024","Not Started","<div class=""ExternalClassF040BBA72E2F495DAC4E1B97E9C1412B""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">Volume of applications the Fin App team needs to upgrade.</div></div>","1062"
"Corporate Support Systems","Enterprise Engineering","IRSReporting-IRSW9ToImaging","https://dev.azure.com/geico/Corporate%20Support%20Systems/_git/IRSReporting-IRSW9ToImaging","Duong, Till","Plan to refactor into .NET Open Source","3/31/2024","In Progress","<div class=""ExternalClass743C8A48D5E541839F31C293E048A432""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">Volume of applications the Fin App team needs to upgrade.</div></div>","1063"
"Corporate Support Systems","Enterprise Engineering","IRSReporting-W9DailyProcessing","https://dev.azure.com/geico/Corporate%20Support%20Systems/_git/IRSReporting-W9DailyProcessing","Duong, Till","Plan to refactor into .NET Open Source","6/30/2024","Not Started","<div class=""ExternalClass2A8EBED2A4024FB5963238F3926344F8""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">Volume of applications the Fin App team needs to upgrade.</div></div>","1064"
"Billing-DevOps-Automations","Enterprise Engineering","IRT_Billing_DuckCreek-SQLSelect","https://dev.azure.com/geico/Billing-DevOps-Automations/_git/IRT_Billing_DuckCreek-SQLSelect","Kollipara, Mahesh","Plan to rewrite on non .Net Open Source","12/31/2026","Not Started","<div class=""ExternalClass03084CCD866F44FF9774DAB48A76536C""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);""><span style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;background-color&%2358;rgb(255, 255, 255);display&%2358;inline !important;"">System rewrite to move to on-prem and remove dependency on DuckCreek</span><br></div></div>","1065"
"Billing-DevOps-Automations","Enterprise Engineering","IRT_Billing_DuckCreek-XMLDataFix","https://dev.azure.com/geico/Billing-DevOps-Automations/_git/IRT_Billing_DuckCreek-XMLDataFix","Kollipara, Mahesh","Plan to rewrite on non .Net Open Source","12/31/2026","Not Started","<div class=""ExternalClass7F94046FB8F341F3B4114280BAED8270""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);""><span style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;background-color&%2358;rgb(255, 255, 255);display&%2358;inline !important;"">System rewrite to move to on-prem and remove dependency on DuckCreek</span><br></div></div>","1066"
"Billing-DevOps-Automations","Enterprise Engineering","IRT_Policy_DuckCreek-SQLSelect - OLD","https://dev.azure.com/geico/Billing-DevOps-Automations/_git/IRT_Policy_DuckCreek-SQLSelect%20-%20OLD","Kollipara, Mahesh","Plan to rewrite on non .Net Open Source","12/31/2026","Not Started","<div class=""ExternalClass484A2067D0A246638DE4F5C7C2BADD0E""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);""><span style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;background-color&%2358;rgb(255, 255, 255);display&%2358;inline !important;"">System rewrite to move to on-prem and remove dependency on DuckCreek</span><br></div></div>","1067"
"K027- All","Infrastructure","IRT_PolicyDuckcreek-XMLDataFix","https://dev.azure.com/geico/K027-%20All/_git/IRT_PolicyDuckcreek-XMLDataFix","Elakari, Abdelkrim","Immediately Archive","2/12/2024","Not Started",,"1068"
"Billing-DevOps-Automations","Enterprise Engineering","IRT_PolicyDuckcreek-XMLDataFix","https://dev.azure.com/geico/Billing-DevOps-Automations/_git/IRT_PolicyDuckcreek-XMLDataFix","Kollipara, Mahesh","Plan to rewrite on non .Net Open Source","12/31/2026","Not Started","<div class=""ExternalClass99F97C8AD8644D4AB6203310ACEED838""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);""><span style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;background-color&%2358;rgb(255, 255, 255);display&%2358;inline !important;"">System rewrite to move to on-prem and remove dependency on DuckCreek</span><br></div></div>","1069"
"K027- All","Infrastructure","IRT-PolicyDuckcreek-SQLSelect","https://dev.azure.com/geico/K027-%20All/_git/IRT-PolicyDuckcreek-SQLSelect","Elakari, Abdelkrim","Immediately Archive","2/12/2024","Not Started",,"1070"
"Billing-DevOps-Automations","Enterprise Engineering","IRT-PolicyDuckcreek-SQLSelect","https://dev.azure.com/geico/Billing-DevOps-Automations/_git/IRT-PolicyDuckcreek-SQLSelect","Kollipara, Mahesh","Plan to rewrite on non .Net Open Source","12/31/2026","Not Started","<div class=""ExternalClass16EEA5C92EDB426B89CEA5DC96A9AB43""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);""><span style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;background-color&%2358;rgb(255, 255, 255);display&%2358;inline !important;"">System rewrite to move to on-prem and remove dependency on DuckCreek</span><br></div></div>","1071"
"DOISCICD","Developer Engineering","ITNBANBACore","https://dev.azure.com/geico/DOISCICD/_git/ITNBANBACore","Theimer, James","Plan to Sunset","3/31/2024","Not Started",,"1072"
"DOISCICD","Developer Engineering","ITNBANBAProxy","https://dev.azure.com/geico/DOISCICD/_git/ITNBANBAProxy","Theimer, James","Plan to Sunset","3/31/2024","Not Started",,"1073"
"DOISCICD","Developer Engineering","ITNBPolicySer","https://dev.azure.com/geico/DOISCICD/_git/ITNBPolicySer","Theimer, James","Plan to Sunset","3/31/2024","Not Started",,"1074"
"Telecom - ECC","Enablement Platforms","IVR_TestData","https://dev.azure.com/geico/Telecom%20-%20ECC/_git/IVR_TestData","Savage, Tammy","Plan to Sunset","3/31/2024","In Progress",,"1075"
"ALM Tools Team","Developer Engineering","JiraMigrator","https://dev.azure.com/geico/ALM%20Tools%20Team/_git/JiraMigrator","Noreen, Brad","Immediately Archive","1/19/2024","Completed","<div class=""ExternalClass48C18B1B49FE49ED818C877B72026605""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">no longer needed. for future reference only.</div></div>","1076"
"Umbrella","Digital Engineering","Jobs","https://dev.azure.com/geico/Umbrella/_git/Jobs","Veerappan, Bala","Plan to refactor into .NET Open Source","5/30/2024","Not Started","<div class=""ExternalClass0E5BA819D03940DF85A7918482D1A26F""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);""><span style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;background-color&%2358;rgb(255, 255, 255);display&%2358;inline !important;"">Umbrella will be sunset with the sunset of Duck Creek, potentially in 2026 but we want to upgrade to .Net 8 to move away from .Net framework.&%23160; Resources are currently tied up with other priorities.</span><br></div></div>","1077"
"Enterprise Document Services","Enablement Platforms","JobsProcessor","https://dev.azure.com/geico/Enterprise%20Document%20Services/_git/JobsProcessor","Dakshina, Mani","Plan to refactor into .NET Open Source","3/31/2024","Not Started",,"1078"
"Cloud Automation","Infrastructure","KeyVaultManagementPlatform","https://dev.azure.com/geico/Cloud%20Automation/_git/KeyVaultManagementPlatform","Loehr, Gregory","Plan to refactor into .NET Open Source","3/31/2024","Not Started",,"1079"
"DOISCICD","Developer Engineering","KnowledgeMgmt_StateRefs","https://dev.azure.com/geico/DOISCICD/_git/KnowledgeMgmt_StateRefs","Theimer, James","Plan to Sunset","3/31/2024","Not Started",,"1080"
"DirectNet Modernization","Core Claims Platforms","KnowledgeMgmt_StateRefs","https://dev.azure.com/geico/DirectNet%20Modernization/_git/KnowledgeMgmt_StateRefs",,,,"Not Started",,"1081"
"DirectNet Modernization","Core Claims Platforms","KnowledgeMgmt_StateRefs_IdentifyDuplicatesInBlob","https://dev.azure.com/geico/DirectNet%20Modernization/_git/KnowledgeMgmt_StateRefs_IdentifyDuplicatesInBlob",,,,"Not Started",,"1082"
"DirectNet Modernization","Core Claims Platforms","KnowledgeMgmt_StateRefsTransformTool","https://dev.azure.com/geico/DirectNet%20Modernization/_git/KnowledgeMgmt_StateRefsTransformTool",,,,"Not Started",,"1083"
"Enterprise Document Services","Enablement Platforms","LabelProcessor","https://dev.azure.com/geico/Enterprise%20Document%20Services/_git/LabelProcessor","Dakshina, Mani","Plan to refactor into .NET Open Source","3/31/2024","Not Started",,"1084"
"IT Sales Interfaces","Core Insurance Platforms","LexisNexis","https://dev.azure.com/geico/IT%20Sales%20Interfaces/_git/LexisNexis","Hoffman, Justin","Immediately Archive","1/23/2024","Completed",,"1085"
"Enterprise Document Services","Enablement Platforms","LHTerminationProcess","https://dev.azure.com/geico/Enterprise%20Document%20Services/_git/LHTerminationProcess","Pawar, Prashant","Plan to refactor into .NET Open Source","3/31/2024","In Progress",,"1086"
"DirectNet Modernization","Core Claims Platforms","Liability_DemandLawSuitLog","https://dev.azure.com/geico/DirectNet%20Modernization/_git/Liability_DemandLawSuitLog",,,,"Not Started",,"1087"
"DirectNet Modernization","Core Claims Platforms","Liability_DemandLawsuitLog_SmokeTest","https://dev.azure.com/geico/DirectNet%20Modernization/_git/Liability_DemandLawsuitLog_SmokeTest",,,,"Not Started",,"1088"
"Billing","Enterprise Engineering","lib-billinghealthcheck","https://dev.azure.com/geico/Billing/_git/lib-billinghealthcheck",,,,"Not Started",,"1089"
"Billing","Enterprise Engineering","lib-BillingVUE","https://dev.azure.com/geico/Billing/_git/lib-BillingVUE",,,,"Not Started",,"1090"
"Billing","Enterprise Engineering","lib-caching","https://dev.azure.com/geico/Billing/_git/lib-caching",,,,"Not Started",,"1091"
"Billing","Enterprise Engineering","lib-cryptography","https://dev.azure.com/geico/Billing/_git/lib-cryptography",,,,"Not Started",,"1092"
"Billing","Enterprise Engineering","lib-f5healthcheck","https://dev.azure.com/geico/Billing/_git/lib-f5healthcheck",,,,"Not Started",,"1093"
"Billing","Enterprise Engineering","lib-failoveragent","https://dev.azure.com/geico/Billing/_git/lib-failoveragent",,,,"Not Started",,"1094"
"Billing","Enterprise Engineering","lib-filemoverclient","https://dev.azure.com/geico/Billing/_git/lib-filemoverclient",,,,"Not Started",,"1095"
"Billing","Enterprise Engineering","lib-fileprocessing","https://dev.azure.com/geico/Billing/_git/lib-fileprocessing",,,,"Not Started",,"1096"
"Billing","Enterprise Engineering","lib-identitytrust","https://dev.azure.com/geico/Billing/_git/lib-identitytrust",,,,"Not Started",,"1097"
"Billing","Enterprise Engineering","lib-logging","https://dev.azure.com/geico/Billing/_git/lib-logging",,,,"Not Started",,"1098"
"Billing","Enterprise Engineering","lib-messaging","https://dev.azure.com/geico/Billing/_git/lib-messaging",,,,"Not Started",,"1099"
"Billing","Enterprise Engineering","lib-mutex","https://dev.azure.com/geico/Billing/_git/lib-mutex",,,,"Not Started",,"1100"
"DOISCICD","Developer Engineering","LKTesting","https://dev.azure.com/geico/DOISCICD/_git/LKTesting","Theimer, James","Plan to Sunset","3/31/2024","Not Started",,"1101"
"Underwriting Systems","Core Insurance Platforms","LoadTestWebApi","https://dev.azure.com/geico/Underwriting%20Systems/_git/LoadTestWebApi","Moturi, Mounika","Immediately Archive","2/16/2024","Completed",,"1102"
"BoatUS","Digital Engineering","LogoItem","https://dev.azure.com/geico/BoatUS/_git/LogoItem","Owens, Brian","Plan to refactor into .NET Open Source","3/15/2024","Not Started",,"1103"
"BoatUS","Digital Engineering","LogoItemAdmin","https://dev.azure.com/geico/BoatUS/_git/LogoItemAdmin",,"Plan to refactor into .NET Open Source","3/15/2024","Not Started",,"1104"
"BoatUS","Digital Engineering","LogoItemService","https://dev.azure.com/geico/BoatUS/_git/LogoItemService","Owens, Brian","Plan to refactor into .NET Open Source","3/15/2024","Not Started",,"1105"
"ITNBCM","Core Insurance Platforms","LTTest1","https://dev.azure.com/geico/ITNBCM/_git/LTTest1","Wiggins, Mark","Immediately Archive","2/21/2024","Completed",,"1106"
